"Model","Brand","ENERGY STAR Most Efficient 2020 - 2023","U-factor (W/m² - K)","Solar Heat Gain (SHGC)","Energy Rating","Style","Frame Material","Layers of Glazing","NRCan Reference","Energy Efficiency Verification Reference","Product Name","U-factor (Btu/h/ft² - °F)","Visible Transmittance","Air Leakage - Infiltration (l/s*m²)","Air Leakage - Exfiltration (l/s*m²)","Registration Date","Last Submitted","Delisting Date"
"OASW-EVERG-SS-4,270(2)-4,180(4)-4,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.18","0.23","26","Single Slider","Vinyl","3","NR6720-37075303-ES5","W410-1","Evergreen Single Sliding Window","0.21","0.43","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-SS-5,270(2)-5,180(4)-5,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.18","0.23","26","Single Slider","Vinyl","3","NR6720-37075304-ES5","W410-1","Evergreen Single Sliding Window","0.21","0.43","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-SS-4,366(2)-4,180(4)-4,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.17","0.18","23","Single Slider","Vinyl","3","NR6720-37075305-ES5","W410-1","Evergreen Single Sliding Window","0.21","0.4","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-SS-5,366(2)-5,180(4)-5,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.18","0.18","23","Single Slider","Vinyl","3","NR6720-37075306-ES5","W410-1","Evergreen Single Sliding Window","0.21","0.4","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-SS-3,366(2)-3,180(4)-3,I89(6)-10AR90EN","Oasis Windows Ltd.","N","1.08","0.18","25","Single Slider","Vinyl","3","NR6720-37075307-ES5","W410-1","Evergreen Single Sliding Window","0.19","0.41","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-FC-3,CL-3,180(3)-13AR90EN","Oasis Windows Ltd.","N","1.52","0.51","36","Fixed Casement","Vinyl","2","NR6720-37075308-ES5","W410-1","Evergreen Fixed Casement Window","0.27","0.59","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-FC-3,180(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.26","0.47","39","Fixed Casement","Vinyl","2","NR6720-37075309-ES5","W410-1","Evergreen Fixed Casement Window","0.22","0.58","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-FC-3,366(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.21","0.2","25","Fixed Casement","Vinyl","2","NR6720-37075310-ES5","W410-1","Evergreen Fixed Casement Window","0.21","0.47","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-FC-3,GRY-3,CL-13AR90EN","Oasis Windows Ltd.","N","1.13","0.33","34","Fixed Casement","Vinyl","3","NR6720-37075317-ES5","W410-1","Evergreen Fixed Casement Window","0.2","0.37","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-AW-3,GRY-3,180(4)-3,CL-13AR90EN","Oasis Windows Ltd.","N","1.19","0.27","27","Awning (single)","Vinyl","3","NR6720-37075326-ES5","W410-1","Evergreen Awning Window","0.21","0.3","0.7","1.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-AW-3,GRY-3,180(4)-3,I89(6)-13AR90EN","Oasis Windows Ltd.","N","1.11","0.27","29","Awning (single)","Vinyl","3","NR6720-37075327-ES5","W410-1","Evergreen Awning Window","0.2","0.3","0.7","1.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-3,CL-3,180(3)-13AR90EN","Oasis Windows Ltd.","N","1.59","0.53","36","Fixed (picture)","Vinyl","2","NR6720-37075271-ES5","W410-1","Evergreen Picture Window","0.28","0.61","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-4,CL-4,180(3)-12AR90EN","Oasis Windows Ltd.","N","1.57","0.51","35","Fixed (picture)","Vinyl","2","NR6720-37075272-ES5","W410-1","Evergreen Picture Window","0.28","0.6","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-3,180(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.34","0.49","39","Fixed (picture)","Vinyl","2","NR6720-37075273-ES5","W410-1","Evergreen Picture Window","0.24","0.6","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-4,180(2)-4,I89(4)-12AR90EN","Oasis Windows Ltd.","N","1.34","0.47","38","Fixed (picture)","Vinyl","2","NR6720-37075274-ES5","W410-1","Evergreen Picture Window","0.24","0.59","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-5,180(2)-5,I89(4)-20AR90EN","Oasis Windows Ltd.","N","1.37","0.47","37","Fixed (picture)","Vinyl","2","NR6720-37075275-ES5","W410-1","Evergreen Picture Window","0.24","0.59","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-6,180(2)-6,I89(4)-18AR90EN","Oasis Windows Ltd.","N","1.36","0.46","37","Fixed (picture)","Vinyl","2","NR6720-37075276-ES5","W410-1","Evergreen Picture Window","0.24","0.58","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-4,180(2)-4,CL-4,180(5)-8AR90EN","Oasis Windows Ltd.","N","1.2","0.42","38","Fixed (picture)","Vinyl","3","NR6720-37075278-ES5","W410-1","Evergreen Picture Window","0.21","0.53","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-5,180(2)-5,CL-5,180(5)-8AR90EN","Oasis Windows Ltd.","N","1.21","0.41","37","Fixed (picture)","Vinyl","3","NR6720-37075279-ES5","W410-1","Evergreen Picture Window","0.21","0.52","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-3,270(2)-3,CL-3,180(5)-10AR90EN","Oasis Windows Ltd.","N","1.07","0.26","31","Fixed (picture)","Vinyl","3","NR6720-37075280-ES5","W410-1","Evergreen Picture Window","0.19","0.47","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-4,270(2)-4,CL-4,180(5)-8AR90EN","Oasis Windows Ltd.","N","1.18","0.26","29","Fixed (picture)","Vinyl","3","NR6720-37075281-ES5","W410-1","Evergreen Picture Window","0.21","0.46","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-5,270(2)-5,CL-5,180(5)-8AR90EN","Oasis Windows Ltd.","N","1.19","0.25","28","Fixed (picture)","Vinyl","3","NR6720-37075282-ES5","W410-1","Evergreen Picture Window","0.21","0.46","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-3,366(2)-3,CL-3,180(5)-10AR90EN","Oasis Windows Ltd.","N","1.06","0.2","28","Fixed (picture)","Vinyl","3","NR6720-37075283-ES5","W410-1","Evergreen Picture Window","0.19","0.44","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-4,366(2)-4,CL-4,180(5)-8AR90EN","Oasis Windows Ltd.","N","1.17","0.2","26","Fixed (picture)","Vinyl","3","NR6720-37075284-ES5","W410-1","Evergreen Picture Window","0.21","0.43","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-5,366(2)-5,CL-5,180(5)-8AR90EN","Oasis Windows Ltd.","N","1.18","0.19","25","Fixed (picture)","Vinyl","3","NR6720-37075285-ES5","W410-1","Evergreen Picture Window","0.21","0.42","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-4,180(2)-4,180(4)-4,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.08","0.4","39","Fixed (picture)","Vinyl","3","NR6720-37075287-ES5","W410-1","Evergreen Picture Window","0.19","0.52","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-5,180(2)-5,180(4)-5,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.09","0.39","38","Fixed (picture)","Vinyl","3","NR6720-37075288-ES5","W410-1","Evergreen Picture Window","0.19","0.51","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-4,270(2)-4,180(4)-4,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.07","0.25","31","Fixed (picture)","Vinyl","3","NR6720-37075290-ES5","W410-1","Evergreen Picture Window","0.19","0.46","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-5,270(2)-5,180(4)-5,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.07","0.24","30","Fixed (picture)","Vinyl","3","NR6720-37075291-ES5","W410-1","Evergreen Picture Window","0.19","0.45","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-4,366(2)-4,180(4)-4,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.06","0.19","28","Fixed (picture)","Vinyl","3","NR6720-37075292-ES5","W410-1","Evergreen Picture Window","0.19","0.43","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-5,366(2)-5,180(4)-5,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.07","0.19","27","Fixed (picture)","Vinyl","3","NR6720-37075293-ES5","W410-1","Evergreen Picture Window","0.19","0.42","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-SS-3,180(2)-3,CL-3,180(5)-10AR90EN","Oasis Windows Ltd.","N","1.19","0.41","36","Single Slider","Vinyl","3","NR6720-37075296-ES5","W410-1","Evergreen Single Sliding Window","0.21","0.51","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-SS-3,270(2)-3,CL-3,180(5)-10AR90EN","Oasis Windows Ltd.","N","1.18","0.25","27","Single Slider","Vinyl","3","NR6720-37075297-ES5","W410-1","Evergreen Single Sliding Window","0.21","0.45","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-SS-3,366(2)-3,CL-3,180(5)-10AR90EN","Oasis Windows Ltd.","N","1.17","0.18","23","Single Slider","Vinyl","3","NR6720-37075298-ES5","W410-1","Evergreen Single Sliding Window","0.21","0.42","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-SS-3,180(2)-3,180(4)-3,I89(6)-10AR90EN","Oasis Windows Ltd.","N","1.11","0.39","36","Single Slider","Vinyl","3","NR6720-37075299-ES5","W410-1","Evergreen Single Sliding Window","0.2","0.5","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-SS-4,180(2)-4,180(4)-4,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.19","0.38","34","Single Slider","Vinyl","3","NR6720-37075300-ES5","W410-1","Evergreen Single Sliding Window","0.21","0.49","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-SS-5,180(2)-5,180(4)-5,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.2","0.37","33","Single Slider","Vinyl","3","NR6720-37075301-ES5","W410-1","Evergreen Single Sliding Window","0.21","0.49","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-SS-3,270(2)-3,180(4)-3,I89(6)-10AR90EN","Oasis Windows Ltd.","N","1.09","0.24","28","Single Slider","Vinyl","3","NR6720-37075302-ES5","W410-1","Evergreen Single Sliding Window","0.19","0.44","1.2","0.5","2021-08-13","2021-08-13","2026-08-13"
"OW-FC-4,270(2)-4,180(4)-4,I89(6)-7AR90EN","Oasis Windows Ltd.","N","1.09","0.26","31","Fixed Casement","Vinyl","3","NR6720-35750013-ES5","W410","5000 Fixed Casement Window","0.19","0.49","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-3,366(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.21","0.23","27","Fixed Casement","Vinyl","2","NR6720-35750014-ES5","W410","5000 Fixed Casement Window","0.21","0.53","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-3,180(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.25","0.41","36","Casement (single)","Vinyl","2","NR6720-35750019-ES5","W410","5000 Casement Window","0.22","0.49","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-4,180(2)-4,I89(4)-18AR90EN","Oasis Windows Ltd.","N","1.27","0.4","35","Casement (single)","Vinyl","2","NR6720-35750020-ES5","W410","5000 Casement Window","0.22","0.49","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-5,180(2)-5,I89(4)-16AR90EN","Oasis Windows Ltd.","N","1.26","0.39","35","Casement (single)","Vinyl","2","NR6720-35750021-ES5","W410","5000 Casement Window","0.22","0.49","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-6,366(2)-6,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.21","0.18","24","Casement (single)","Vinyl","2","NR6720-35750022-ES5","W410","5000 Casement Window","0.21","0.39","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-6,180A(2)-6,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.26","0.38","34","Casement (single)","Vinyl","2","NR6720-35750023-ES5","W410","5000 Casement Window","0.22","0.48","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-6,366L(2)-6,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.2","0.18","24","Casement (single)","Vinyl","2","NR6720-35750024-ES5","W410","5000 Casement Window","0.21","0.39","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-3,180(2)-3,CL-3,180(5)-8AR90EN","Oasis Windows Ltd.","N","1.17","0.36","35","Casement (single)","Vinyl","3","NR6720-35750025-ES5","W410","5000 Casement Window","0.21","0.44","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-3,GRAY-3,366(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.15","0.15","23","Casement (single)","Vinyl","3","NR6720-35750028-ES5","W410","5000 Casement Window","0.2","0.25","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-4,180(2)-4,180(4)-4,I89(6))-7AR90EN","Oasis Windows Ltd.","N","1.13","0.33","34","Casement (single)","Vinyl","3","NR6720-35750029-ES5","W410","5000 Casement Window","0.2","0.43","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-4,270(2)-4,180(4)-4,I89(6)-7AR90EN","Oasis Windows Ltd.","N","1.12","0.21","28","Casement (single)","Vinyl","3","NR6720-35750030-ES5","W410","5000 Casement Window","0.2","0.38","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-3,366(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.21","0.18","24","Casement (single)","Vinyl","2","NR6720-35750031-ES5","W410","5000 Casement Window","0.21","0.4","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-AW-3,180(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.29","0.41","35","Awning (single)","Vinyl","2","NR6720-35750032-ES5","W410","5000 Awning Window","0.23","0.49","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-AW-4,180(2)-4,I89(4)-18AR90EN","Oasis Windows Ltd.","N","1.31","0.4","34","Awning (single)","Vinyl","2","NR6720-35750033-ES5","W410","5000 Awning Window","0.23","0.49","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-AW-5,180(2)-5,I89(4)-16AR90EN","Oasis Windows Ltd.","N","1.3","0.39","34","Awning (single)","Vinyl","2","NR6720-35750034-ES5","W410","5000 Awning Window","0.23","0.49","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-AW-6,180A(2)-6,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.29","0.38","34","Awning (single)","Vinyl","2","NR6720-35750035-ES5","W410","5000 Awning Window","0.23","0.48","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-AW-3,180(2)-3,CL-3,180(5)-8AR90EN","Oasis Windows Ltd.","N","1.18","0.36","35","Awning (single)","Vinyl","3","NR6720-35750036-ES5","W410","5000 Awning Window","0.21","0.44","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-AW-3,180(2)-3,180(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.07","0.35","37","Awning (single)","Vinyl","3","NR6720-35750037-ES5","W410","5000 Awning Window","0.19","0.44","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-AW-3,270(2)-3,180(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.06","0.21","29","Awning (single)","Vinyl","3","NR6720-35750038-ES5","W410","5000 Awning Window","0.19","0.38","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-AW-3,GRAY-3,366(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.18","0.15","23","Awning (single)","Vinyl","3","NR6720-35750039-ES5","W410","5000 Awning Window","0.21","0.25","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-AW-4,180(2)-4,180(4)-4,I89(6))-7AR90EN","Oasis Windows Ltd.","N","1.15","0.34","34","Awning (single)","Vinyl","3","NR6720-35750040-ES5","W410","5000 Awning Window","0.2","0.43","0","0","2020-11-10","2020-11-10","2025-11-01"
"OWAW-4,270(2)-4,180(4)-4,I89(6)-7AR90EN","Oasis Windows Ltd.","N","1.14","0.21","27","Awning (single)","Vinyl","3","NR6720-35750041-ES5","W410","5000 Awning Window","0.2","0.38","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-3,CL-3,180(3)-13AR90EN","Oasis Windows Ltd.","N","1.54","0.56","39","Fixed Casement","Vinyl","2","NR6720-35749997-ES5","W410","5000 Fixed Casement Window","0.27","0.65","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-4,CL-4,180(3)-18AR90EN","Oasis Windows Ltd.","N","1.57","0.55","37","Fixed Casement","Vinyl","2","NR6720-35749999-ES5","W410","5000 Fixed Casement Window","0.28","0.65","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-5,CL-5,180(3)-16AR90EN","Oasis Windows Ltd.","N","1.56","0.54","37","Fixed Casement","Vinyl","2","NR6720-35750001-ES5","W410","5000 Fixed Casement Window","0.27","0.64","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-6,366(2)-6,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.21","0.22","26","Fixed Casement","Vinyl","2","NR6720-35750003-ES5","W410","5000 Fixed Casement Window","0.21","0.51","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-6,366(2)-6,180(3)-13AR90EN","Oasis Windows Ltd.","N","1.53","0.53","37","Fixed Casement","Vinyl","2","NR6720-35750004-ES5","W410","5000 Fixed Casement Window","0.27","0.64","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-6,366L(2)-6,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.2","0.23","27","Fixed Casement","Vinyl","2","NR6720-35750006-ES5","W410","5000 Fixed Casement Window","0.21","0.51","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-3,GREY-3,366(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.14","0.19","26","Fixed Casement","Vinyl","3","NR6720-35750010-ES5","W410","5000 Fixed Casement Window","0.2","0.33","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-4,180(2)-4,CL-4,180(5)-7AR90EN","Oasis Windows Ltd.","N","1.26","0.45","38","Fixed Casement","Vinyl","3","NR6720-35750011-ES5","W410","5000 Fixed Casement Window","0.22","0.57","0","0","2020-11-10","2020-11-10","2025-11-01"
