"Model","Brand","ENERGY STAR Most Efficient 2020 - 2023","U-factor (W/m² - K)","Solar Heat Gain (SHGC)","Energy Rating","Style","Frame Material","Layers of Glazing","NRCan Reference","Energy Efficiency Verification Reference","Product Name","U-factor (Btu/h/ft² - °F)","Visible Transmittance","Air Leakage - Infiltration (l/s*m²)","Air Leakage - Exfiltration (l/s*m²)","Registration Date","Last Submitted","Delisting Date"
"OASW-SS-3,180(2)-3,180(4)-3,I89(6)-6AR90SS","Oasis Windows Ltd.","N","1.26","0.42","36","Single Slider","Vinyl","3","NR6720-36222535-ES5","W410","300 Series Single Slider","0.22","0.53","0.1","0.3","2021-01-18","2021-01-18","2026-01-01"
"OASW-SS-3,180(2)-3,CL-3,180(5)-6AR90SS","Oasis Windows Ltd.","N","1.42","0.44","34","Single Slider","Vinyl","3","NR6720-36222536-ES5","W410","300 Series Single Slider","0.25","0.54","0.1","0.3","2021-01-18","2021-01-18","2026-01-01"
"OASW-SS-5,180(2)-5,I89(4)-11AR90SS","Oasis Windows Ltd.","N","1.5","0.47","34","Single Slider","Vinyl","2","NR6720-36222537-ES5","W410","300 Series Single Slider","0.26","0.59","0.1","0.3","2021-01-18","2021-01-18","2026-01-01"
"OASW-AW-6,180A(2)-6,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.29","0.38","34","Awning (single)","Vinyl","2","NR6720-36222467-ES5","W410","5000 Awning Window","0.23","0.48","0","0","2021-01-18","2021-01-18","2025-11-01"
"OASW-CA-3,180(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.25","0.41","36","Casement (single)","Vinyl","2","NR6720-36222468-ES5","W410","5000 Casement Window","0.22","0.49","0","0","2021-01-18","2021-01-18","2025-11-01"
"OASW-CA-3,366(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.21","0.18","24","Casement (single)","Vinyl","2","NR6720-36222469-ES5","W410","5000 Casement Window","0.21","0.4","0","0","2021-01-18","2021-01-18","2025-11-01"
"OASW-CA-3,GRAY-3,366(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.15","0.15","23","Casement (single)","Vinyl","3","NR6720-36222470-ES5","W410","5000 Casement Window","0.2","0.25","0","0","2021-01-18","2021-01-18","2025-11-01"
"OASW-CA-4,180(2)-4,180(4)-4,I89(6))-7AR90EN","Oasis Windows Ltd.","N","1.13","0.33","34","Casement (single)","Vinyl","3","NR6720-36222471-ES5","W410","5000 Casement Window","0.2","0.43","0","0","2021-01-18","2021-01-18","2025-11-01"
"OASW-CA-6,180A(2)-6,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.26","0.38","34","Casement (single)","Vinyl","2","NR6720-36222472-ES5","W410","5000 Casement Window","0.22","0.48","0","0","2021-01-18","2021-01-18","2025-11-01"
"OASW-FC-3,366(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","N","1.21","0.23","27","Fixed Casement","Vinyl","2","NR6720-36222476-ES5","W410","5000 Fixed Casement Window","0.21","0.53","0","0","2021-01-18","2021-01-18","2025-11-01"
"OASW-FC-3,CL-3,180(3)-13AR90EN","Oasis Windows Ltd.","N","1.54","0.56","39","Fixed Casement","Vinyl","2","NR6720-36222477-ES5","W410","5000 Fixed Casement Window","0.27","0.65","0","0","2021-01-18","2021-01-18","2025-11-01"
"OASW-AW-3,180(2)-3,180(4)-3,I89(6)-8AR90SS","Oasis Windows Ltd.","N","1.07","0.35","37","Awning (single)","Vinyl","3","NR6720-36222478-ES5","W410","5000 Awning","0.19","0.44","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-AW-3,180(2)-3,CL-3,180(5)-8AR90SS","Oasis Windows Ltd.","N","1.18","0.36","35","Awning (single)","Vinyl","3","NR6720-36222479-ES5","W410","5000 Awning","0.21","0.44","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-AW-3,180(2)-3,I89(4)-19AR90SS","Oasis Windows Ltd.","N","1.31","0.41","35","Awning (single)","Vinyl","2","NR6720-36222480-ES5","W410","5000 Awning","0.23","0.49","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-AW-3,180(2)-3,I89(4)-20AR90EN","Oasis Windows Ltd.","N","1.31","0.41","35","Awning (single)","Vinyl","2","NR6720-36222481-ES5","W410","5000 Awning","0.23","0.49","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-AW-3,270(2)-3,180(4)-3,I89(6)-8AR90SS","Oasis Windows Ltd.","N","1.06","0.21","29","Awning (single)","Vinyl","3","NR6720-36222482-ES5","W410","5000 Awning","0.19","0.38","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-AW-3,GRAY-3,366(4)-3,I89(6)-8AR90SS","Oasis Windows Ltd.","N","1.18","0.15","23","Awning (single)","Vinyl","3","NR6720-36222483-ES5","W410","5000 Awning","0.21","0.25","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-AW-3,GREY-3,366(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","N","1.18","0.15","23","Awning (single)","Vinyl","3","NR6720-36222484-ES5","W410","5000 Awning","0.21","0.25","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-AW-4,180(2)-4,180(4)-4,I89(6)-6AR90SS","Oasis Windows Ltd.","N","1.16","0.34","34","Awning (single)","Vinyl","3","NR6720-36222485-ES5","W410","5000 Awning","0.2","0.43","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-AW-4,180(2)-4,180(4)-4,I89(6)-7AR90EN","Oasis Windows Ltd.","N","1.15","0.34","34","Awning (single)","Vinyl","3","NR6720-36222486-ES5","W410","5000 Awning","0.2","0.43","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-AW-4,180(2)-4,I89(4)-18AR90SS","Oasis Windows Ltd.","N","1.31","0.4","34","Awning (single)","Vinyl","2","NR6720-36222487-ES5","W410","5000 Awning","0.23","0.49","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-EVERG-FC-3,180(2)-3,CL-3,180(5)-13AR90EN","Oasis Windows Ltd.","Y","0.91","0.42","44","Fixed Casement","Vinyl","3","NR6720-37075311-ES5","W410-1","Evergreen Fixed Casement Window","0.16","0.52","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
"OASW-FC-3,277(2)-3,180(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","Y","0.98","0.27","34","Fixed Casement","Vinyl","3","NR6720-36222475-ES5","W410","5000 Fixed Casement Window","0.17","0.5","0","0","2021-01-18","2021-01-18","2025-11-01"
"OASW-EVERG-FC-3,366(2)-3,CL-3,180(5)-13AR90EN","Oasis Windows Ltd.","Y","0.88","0.19","31","Fixed Casement","Vinyl","3","NR6720-37075313-ES5","W410-1","Evergreen Fixed Casement Window","0.15","0.43","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-FC-3,180(2)-3,180(4)-3,I89(6)-13AR90EN","Oasis Windows Ltd.","Y","0.83","0.4","45","Fixed Casement","Vinyl","3","NR6720-37075314-ES5","W410-1","Evergreen Fixed Casement Window","0.15","0.51","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-FC-3,270(2)-3,180(4)-3,I89(6)-13AR90EN","Oasis Windows Ltd.","Y","0.82","0.24","36","Fixed Casement","Vinyl","3","NR6720-37075315-ES5","W410-1","Evergreen Fixed Casement Window","0.14","0.45","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-FC-3,366(2)-3,180(4)-3,I89(6)-13AR90EN","Oasis Windows Ltd.","Y","0.81","0.18","32","Fixed Casement","Vinyl","3","NR6720-37075316-ES5","W410-1","Evergreen Fixed Casement Window","0.14","0.42","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-FC-3,366(2)-3,180(4)-3,I89(6)-13AR90EN-F","Oasis Windows Ltd.","Y","0.77","0.21","35","Fixed Casement","Vinyl","3","NR6720-37075318-ES5","W410-1","Evergreen Fixed Casement Window","0.14","0.42","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-AW-3,180(2)-3,CL-3,180(5)-13AR90EN","Oasis Windows Ltd.","Y","1","0.35","36","Awning (single)","Vinyl","3","NR6720-37075320-ES5","W410-1","Evergreen Awning Window","0.18","0.43","0.7","1.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-AW-3,270(2)-3,CL-3,180(5)-13AR90EN","Oasis Windows Ltd.","Y","0.99","0.21","28","Awning (single)","Vinyl","3","NR6720-37075321-ES5","W410-1","Evergreen Awning Window","0.17","0.38","0.7","1.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-AW-3,366(2)-3,CL-3,180(5)-13AR90EN","Oasis Windows Ltd.","Y","0.98","0.16","26","Awning (single)","Vinyl","3","NR6720-37075322-ES5","W410-1","Evergreen Awning Window","0.17","0.35","0.7","1.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-AW-3,180(2)-3,180(4)-3,I89(6)-13AR90EN","Oasis Windows Ltd.","Y","0.95","0.34","37","Awning (single)","Vinyl","3","NR6720-37075323-ES5","W410-1","Evergreen Awning Window","0.17","0.42","0.7","1.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-AW-3,270(2)-3,180(4)-3,I89(6)-13AR90EN","Oasis Windows Ltd.","Y","0.94","0.2","29","Awning (single)","Vinyl","3","NR6720-37075324-ES5","W410-1","Evergreen Awning Window","0.17","0.37","0.7","1.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-AW-3,366(2)-3,180(4)-3,I89(6)-13AR90EN","Oasis Windows Ltd.","Y","0.93","0.15","26","Awning (single)","Vinyl","3","NR6720-37075325-ES5","W410-1","Evergreen Awning Window","0.16","0.34","0.7","1.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-AW-3,366(2)-3,180(4)-3,I89(6)-13AR90EN-F","Oasis Windows Ltd.","Y","0.88","0.15","27","Awning (single)","Vinyl","3","NR6720-37075328-ES5","W410-1","Evergreen Awning Window","0.15","0.34","0.7","1.5","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-3,180(2)-3,CL-3,180(5)-10AR90EN","Oasis Windows Ltd.","Y","1.09","0.44","41","Fixed (picture)","Vinyl","3","NR6720-37075277-ES5","W410-1","Evergreen Picture Window","0.19","0.54","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-3,180(2)-3,180(4)-3,I89(6)-10AR90EN","Oasis Windows Ltd.","Y","1","0.42","42","Fixed (picture)","Vinyl","3","NR6720-37075286-ES5","W410-1","Evergreen Picture Window","0.18","0.53","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-3,270(2)-3,180(4)-3,I89(6)-10AR90EN","Oasis Windows Ltd.","Y","0.98","0.25","33","Fixed (picture)","Vinyl","3","NR6720-37075289-ES5","W410-1","Evergreen Picture Window","0.17","0.47","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OASW-EVERG-PC-3,366(2)-3,180(4)-3,I89(6)-10AR90EN","Oasis Windows Ltd.","Y","0.98","0.19","29","Fixed (picture)","Vinyl","3","NR6720-37075294-ES5","W410-1","Evergreen Picture Window","0.17","0.43","0.1","0.1","2021-08-13","2021-08-13","2026-08-13"
"OW-FC-4,180(2)-4,180(4)-4,I89(6)-7AR90EN","Oasis Windows Ltd.","Y","1.1","0.43","41","Fixed Casement","Vinyl","3","NR6720-35750012-ES5","W410","5000 Fixed Casement Window","0.19","0.56","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-3,180(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","Y","1.27","0.52","42","Fixed Casement","Vinyl","2","NR6720-35750015-ES5","W410","5000 Fixed Casement Window","0.22","0.64","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-3,180(2)-3,CL-3,I89(6)-8AR90EN","Oasis Windows Ltd.","Y","1.13","0.46","42","Fixed Casement","Vinyl","3","NR6720-35750016-ES5","W410","5000 Fixed Casement Window","0.2","0.58","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-3,270(2)-3,180(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","Y","0.99","0.27","34","Fixed Casement","Vinyl","3","NR6720-35750017-ES5","W410","5000 Fixed Casement Window","0.17","0.5","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-3,180(2)-3,180(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","Y","1.05","0.35","37","Casement (single)","Vinyl","3","NR6720-35750026-ES5","W410","5000 Casement Window","0.18","0.44","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-CA-3,270(2)-3,180(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","Y","1.04","0.21","29","Casement (single)","Vinyl","3","NR6720-35750027-ES5","W410","5000 Casement Window","0.18","0.38","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-3180(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","Y","1.28","0.52","42","Fixed Casement","Vinyl","2","NR6720-35749998-ES5","W410","5000 Fixed Casement Window","0.23","0.64","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-4,180(2)-4,I89(4)-18AR90EN","Oasis Windows Ltd.","Y","1.29","0.51","41","Fixed Casement","Vinyl","2","NR6720-35750000-ES5","W410","5000 Fixed Casement Window","0.23","0.64","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-5,180(2)-5,I89(4)-16AR90EN","Oasis Windows Ltd.","Y","1.28","0.5","41","Fixed Casement","Vinyl","2","NR6720-35750002-ES5","W410","5000 Fixed Casement Window","0.23","0.63","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-6,180(2)-6,I89(4)-13AR90EN","Oasis Windows Ltd.","Y","1.27","0.48","40","Fixed Casement","Vinyl","2","NR6720-35750005-ES5","W410","5000 Fixed Casement Window","0.22","0.62","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-3,180(2)-3,CL-3,180(5)-8AR90EN","Oasis Windows Ltd.","Y","1.12","0.46","42","Fixed Casement","Vinyl","3","NR6720-35750007-ES5","W410","5000 Fixed Casement Window","0.2","0.58","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-3,180(2)-3,180(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","Y","1","0.44","44","Fixed Casement","Vinyl","3","NR6720-35750008-ES5","W410","5000 Fixed Casement Window","0.18","0.57","0","0","2020-11-10","2020-11-10","2025-11-01"
"OW-FC-3,277(2)-3,180(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","Y","0.98","0.27","34","Fixed Casement","Vinyl","3","NR6720-35750009-ES5","W410","5000 Fixed Casement Window","0.17","0.5","0","0","2020-11-10","2020-11-10","2025-11-01"
"OASW-PC-3,180(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","Y","1.31","0.52","41","Fixed (picture)","Vinyl","2","NR6720-35747390-ES5","W410","300 Series Picture","0.23","0.63","0","0","2020-10-27","2020-10-27","2025-10-01"
"OASW-PC-4,180(2)-4,I89(4)-12AR90EN","Oasis Windows Ltd.","Y","1.34","0.5","40","Fixed (picture)","Vinyl","2","NR6720-35747392-ES5","W410","300 Series Picture","0.24","0.63","0","0","2020-10-27","2020-10-27","2025-10-01"
"OASW-PC-3,180(2)-3,180(4)-3,I89(6)-7AR90EN","Oasis Windows Ltd.","Y","1.16","0.44","40","Fixed (picture)","Vinyl","3","NR6720-35747396-ES5","W410","300 Series Picture","0.2","0.56","0","0","2020-10-27","2020-10-27","2025-10-01"
"OASW-PC-3,180(2)-3,I89(4)-13AR90SS","Oasis Windows Ltd.","Y","1.31","0.52","41","Fixed (picture)","Vinyl","2","NR6720-35747411-ES5","W410","300 Series Picture","0.23","0.63","0","0","2020-10-27","2020-10-27","2025-10-01"
"OASW-PC-4,180(2)-4,I89(4)-12AR90SS","Oasis Windows Ltd.","Y","1.34","0.5","40","Fixed (picture)","Vinyl","2","NR6720-35747413-ES5","W410","300 Series Picture","0.24","0.63","0","0","2020-10-27","2020-10-27","2025-10-01"
"OASW-PC-3,180(2)-3,180(4)-3,I89(6)-7AR90SS","Oasis Windows Ltd.","Y","1.16","0.44","40","Fixed (picture)","Vinyl","3","NR6720-35747417-ES5","W410","300 Series Picture","0.2","0.56","0","0","2020-10-27","2021-01-18","2025-10-01"
"OASW-CA-3,180(2)-3,180(4)-3,I89(6)-8AR90SS","Oasis Windows Ltd.","Y","1.05","0.35","37","Casement (single)","Vinyl","3","NR6720-36222492-ES5","W410","5000 Casement","0.18","0.44","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-CA-3,270(2)-3,180(4)-3,I89(6)-8AR90SS","Oasis Windows Ltd.","Y","1.04","0.21","29","Casement (single)","Vinyl","3","NR6720-36222496-ES5","W410","5000 Casement","0.18","0.38","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-3,180(2)-3,180(4)-3,I89(6)-8AR90SS","Oasis Windows Ltd.","Y","1","0.44","44","Fixed (picture)","Vinyl","3","NR6720-36222508-ES5","W410","5000 Fixed Casement","0.18","0.57","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-3,180(2)-3,CL-3,180(5)-8AR90SS","Oasis Windows Ltd.","Y","1.13","0.46","42","Fixed (picture)","Vinyl","3","NR6720-36222509-ES5","W410","5000 Fixed Casement","0.2","0.58","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-3,180(2)-3,I89(4)-19AR90SS","Oasis Windows Ltd.","Y","1.29","0.52","42","Fixed (picture)","Vinyl","2","NR6720-36222510-ES5","W410","5000 Fixed Casement","0.23","0.64","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-3,180(2)-3,I89(4)-20AR90EN","Oasis Windows Ltd.","Y","1.3","0.52","42","Fixed (picture)","Vinyl","2","NR6720-36222511-ES5","W410","5000 Fixed Casement","0.23","0.64","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-3,270(2)-3,180(4)-3,I89(6)-8AR90SS","Oasis Windows Ltd.","Y","0.99","0.27","34","Fixed (picture)","Vinyl","3","NR6720-36222512-ES5","W410","5000 Fixed Casement","0.17","0.5","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-4,180(2)-4,180(4)-4,I89(6)-6AR90SS","Oasis Windows Ltd.","Y","1.1","0.43","41","Fixed (picture)","Vinyl","3","NR6720-36222516-ES5","W410","5000 Fixed Casement","0.19","0.56","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-4,180(2)-4,I89(4)-18AR90SS","Oasis Windows Ltd.","Y","1.29","0.51","41","Fixed (picture)","Vinyl","2","NR6720-36222518-ES5","W410","5000 Fixed Casement","0.23","0.64","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-5,180(2)-5,I89(4)-16AR90SS","Oasis Windows Ltd.","Y","1.28","0.5","41","Fixed (picture)","Vinyl","2","NR6720-36222521-ES5","W410","5000 Fixed Casement","0.23","0.63","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-6,180(2)-6,I89(4)-13AR90SS","Oasis Windows Ltd.","Y","1.27","0.48","40","Fixed (picture)","Vinyl","2","NR6720-36222523-ES5","W410","5000 Fixed Casement","0.22","0.62","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-PC-3,180(2)-3,180(4)-3,I89(6)-6AR90SS","Oasis Windows Ltd.","Y","1.15","0.44","40","Fixed (picture)","Vinyl","3","NR6720-36222528-ES5","W410","300 Series Picture","0.2","0.56","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-3,180(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","Y","1.27","0.52","42","Fixed Casement","Vinyl","2","NR6720-36222473-ES5","W410","5000 Fixed Casement Window","0.22","0.64","0","0","2021-01-18","2021-01-18","2025-11-01"
"OASW-FC-3,270(2)-3,180(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","Y","0.99","0.27","34","Fixed Casement","Vinyl","3","NR6720-36222474-ES5","W410","5000 Fixed Casement Window","0.17","0.5","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-EVERG-FC-3,270(2)-3,CL-3,180(5)-13AR90EN","Oasis Windows Ltd.","Y","0.89","0.25","35","Fixed Casement","Vinyl","3","NR6720-37075312-ES5","W410-1","Evergreen Fixed Casement Window","0.16","0.46","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
