series;window type;glass option;model code;u-value;shgc;er;vt;report
5000 Series;Casement Window;4,366(2)-4,CL;OASW-CA-4,366(2)-4,CL-18AR90SS;1.44;0.18;19;0.41;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;4,366(2)-4,i89(4);OASW-CA-4,366(2)-4,i89(4)-18AR90SS;1.23;0.18;23;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;4,CL-4,180(3);OASW-CA-4,CL-4,180(3)-18AR90SS;1.51;0.43;32;0.50;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;4,180(2)-4,i89(4);OASW-CA-4,180(2)-4,i89(4)-18AR90SS;1.27;0.40;35;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,270(2)-5,CL;OASW-CA-5,270(2)-5,CL-16AR90SS;1.45;0.24;22;0.43;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,366(2)-5,CL;OASW-CA-5,366(2)-5,CL-16AR90SS;1.43;0.18;19;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,366(2)-5,i89(4);OASW-CA-5,366(2)-5,i89(4)-16AR90SS;1.22;0.18;24;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,CL-5,180(3);OASW-CA-5,CL-5,180(3)-16AR90SS;1.50;0.42;31;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,180(2)-5,i89(4);OASW-CA-5,180(2)-5,i89(4)-16AR90SS;1.26;0.39;35;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,GRAY-5,180(3);OASW-CA-5,GRAY-5,180(3)-16AR90SS;1.50;0.28;23;0.27;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,270(2)-6,CL;OASW-CA-6,270(2)-6,CL-13AR90SS;1.44;0.24;22;0.43;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,366(2)-6,CL;OASW-CA-6,366(2)-6,CL-13AR90SS;1.42;0.18;19;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,366(2)-6,i89(4);OASW-CA-6,366(2)-6,i89(4)-13AR90SS;1.21;0.18;24;0.39;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,CL-6,180(3);OASW-CA-6,CL-6,180(3)-13AR90SS;1.48;0.41;31;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,180(2)-6,i89(4);OASW-CA-6,180(2)-6,i89(4)-13AR90SS;1.26;0.38;34;0.48;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,SOGR-6,180(3);OASW-CA-6,SOGR-6,180(3)-13AR90SS;1.48;0.14;16;0.09;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,366L(2)-6,i89(4);OASW-CA-6,366L(2)-6,i89(4)-13AR90SS;1.20;0.18;24;0.39;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;3,180(2)-3,CL-3,180(5);OASW-CA-3,180(2)-3,CL-3,180(5)-8AR90SS;1.17;0.36;35;0.44;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;3,180(2)-3,180(4)-3,i89(6);OASW-CA-3,180(2)-3,180(4)-3,i89(6)-8AR90SS;1.05;0.35;37;0.44;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;3,270(2)-3,180(4)-3,i89(6);OASW-CA-3,270(2)-3,180(4)-3,i89(6)-8AR90SS;1.04;0.21;29;0.38;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;3,270(2)-3,CL-3,CL;OASW-CA-3,270(2)-3,CL-3,CL-8AR90SS;1.33;0.23;24;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;3,GRAY-3,366(4)-3,i89(6);OASW-CA-3,GRAY-3,366(4)-3,i89(6)-8AR90SS;1.15;0.15;23;0.25;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;4,180(2)-4,CL-4,180(5);OASW-CA-4,180(2)-4,CL-4,180(5)-6AR90SS;1.28;0.35;32;0.44;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;4,180(2)-4,180(4)-4,i89(6);OASW-CA-4,180(2)-4,180(4)-4,i89(6)-6AR90SS;1.13;0.33;34;0.43;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;4,270(2)-4,180(4)-4,i89(6);OASW-CA-4,270(2)-4,180(4)-4,i89(6)-6AR90SS;1.12;0.21;28;0.38;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,SOGR-3,366(4)-3,i89(6);OASW-CA-6,SOGR-3,366(4)-3,i89(6)-6AR90SS;1.24;0.07;17;0.07;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;3,270(2)-3,CL;OASW-AW-3,270(2)-3,CL-19AR90SS;1.49;0.24;21;0.44;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;3,366(2)-3,CL;OASW-AW--19AR90SS;1.46;0.18;18;0.41;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;3,366(2)-3,i89(4);OASW-AW-3,366(2)-3,i89(4)-19AR90SS;1.26;0.18;23;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;3,CL-3,180(3);OASW-AW-3,CL-3,180(3)-19AR90SS;1.53;0.44;32;0.50;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;3,180(2)-3,i89(4);OASW-AW-3,180(2)-3,i89(4)-19AR90SS;1.31;0.41;35;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;3,GRAY-3,180(3);OASW-AW-3,GRAY-3,180(3)-19AR90SS;1.53;0.33;26;0.34;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;4,270(2)-4,CL;OASW-AW-4,270(2)-4,CL-18AR90SS;1.48;0.24;21;0.44;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;4,366(2)-4,CL;OASW-AW-4,366(2)-4,CL-18AR90SS;1.46;0.18;18;0.41;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;4,366(2)-4,i89(4);OASW-AW-4,366(2)-4,i89(4)-18AR90SS;1.26;0.18;23;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;4,CL-4,180(3);OASW-AW-4,CL-4,180(3)-18AR90SS;1.52;0.43;32;0.50;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;4,180(2)-4,i89(4);OASW-AW-4,180(2)-4,i89(4)-18AR90SS;1.31;0.40;34;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;5,270(2)-5,CL;OASW-AW-5,270(2)-5,CL-16AR90SS;1.47;0.24;22;0.43;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;5,366(2)-5,CL;OASW-AW-5,366(2)-5,CL-16AR90SS;1.45;0.18;19;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;5,366(2)-5,i89(4);OASW-AW-5,366(2)-5,i89(4)-16AR90SS;1.25;0.18;23;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;5,CL-5,180(3);OASW-AW-5,CL-5,180(3)-16AR90SS;1.51;0.42;31;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;5,180(2)-5,i89(4);OASW-AW-5,180(2)-5,i89(4)-16AR90SS;1.30;0.39;34;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;5,GRAY-5,180(3);OASW-AW-5,GRAY-5,180(3)-16AR90SS;1.51;0.28;23;0.27;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;6,270(2)-6,CL;OASW-AW-6,270(2)-6,CL-13AR90SS;1.45;0.24;22;0.43;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;6,366(2)-6,CL;OASW-AW-6,366(2)-6,CL-13AR90SS;1.43;0.18;19;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;6,366(2)-6,i89(4);OASW-AW-6,366(2)-6,i89(4)-13AR90SS;1.24;0.18;23;0.39;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;6,CL-6,180(3);OASW-AW-6,CL-6,180(3)-13AR90SS;1.50;0.41;31;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;6,180(2)-6,i89(4);OASW-AW-6,180(2)-6,i89(4)-13AR90SS;1.29;0.38;34;0.48;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;6,SOGR-6,180(3);OASW-AW-6,SOGR-6,180(3)-13AR90SS;1.50;0.14;15;0.09;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;6,366L(2)-6,i89(4);OASW-AW-6,366L(2)-6,i89(4)-13AR90SS;1.23;0.18;23;0.39;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;3,180(2)-3,CL-3,180(5);OASW-AW-3,180(2)-3,CL-3,180(5)-8AR90SS;1.18;0.36;35;0.44;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;3,180(2)-3,180(4)-3,i89(6);OASW-AW-3,180(2)-3,180(4)-3,i89(6)-8AR90SS;1.07;0.35;37;0.44;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;3,270(2)-3,180(4)-3,i89(6);OASW-AW-3,270(2)-3,180(4)-3,i89(6)-8AR90SS;1.06;0.21;29;0.38;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;3,270(2)-3,CL-3,CL;OASW-AW-3,270(2)-3,CL-3,CL-8AR90SS;1.34;0.23;24;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;3,GRAY-3,366(4)-3,i89(6);OASW-AW-3,GRAY-3,366(4)-3,i89(6)-8AR90SS;1.18;0.15;23;0.25;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;4,180(2)-4,CL-4,180(5);OASW-AW-4,180(2)-4,CL-4,180(5)-6AR90SS;1.29;0.35;32;0.44;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;4,180(2)-4,180(4)-4,i89(6);OASW-AW-4,180(2)-4,180(4)-4,i89(6)-6AR90SS;1.16;0.34;34;0.43;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;4,270(2)-4,180(4)-4,i89(6);OASW-AW-4,270(2)-4,180(4)-4,i89(6)-6AR90SS;1.15;0.21;27;0.38;T636-65 (Issued November 20, 2020)
5000 Series;Awning Window;6,SOGR-3,366(4)-3,i89(6);OASW-AW-6,SOGR-3,366(4)-3,i89(6)-6AR90SS;1.27;0.07;16;0.07;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;3,270(2)-3,CL;OASW-FC-3,270(2)-3,CL-19AR90SS;1.53;0.31;24;0.58;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;3,366(2)-3,CL;OASW-FC-3,366(2)-3,CL-19AR90SS;1.50;0.23;20;0.53;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;3,366(2)-3,i89(4);OASW-FC-3,366(2)-3,i89(4)-19AR90SS;1.24;0.22;26;0.53;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;3,CL-3,180(3);OASW-FC-3,CL-3,180(3)-19AR90SS;1.59;0.56;38;0.65;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;3,180(2)-3,i89(4);OASW-FC-3,180(2)-3,i89(4)-19AR90SS;1.29;0.52;42;0.64;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;3,GRAY-3,180(3);OASW-FC-3,GRAY-3,180(3)-19AR90SS;1.59;0.43;30;0.45;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;4,270(2)-4,CL;OASW-FC-4,270(2)-4,CL-18AR90SS;1.51;0.30;24;0.57;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;4,366(2)-4,CL;OASW-FC-4,366(2)-4,CL-18AR90SS;1.48;0.23;21;0.53;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;4,366(2)-4,i89(4);OASW-FC-4,366(2)-4,i89(4)-18AR90SS;1.23;0.22;26;0.52;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;4,CL-4,180(3);OASW-FC-4,CL-4,180(3)-18AR90SS;1.57;0.55;37;0.65;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;4,180(2)-4,i89(4);OASW-FC-4,180(2)-4,i89(4)-18AR90SS;1.29;0.51;41;0.64;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;5,270(2)-5,CL;OASW-FC-5,270(2)-5,CL-16AR90SS;1.50;0.30;24;0.57;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;5,366(2)-5,CL;OASW-FC-5,366(2)-5,CL-16AR90SS;1.47;0.23;21;0.53;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;5,366(2)-5,i89(4);OASW-FC-5,366(2)-5,i89(4)-16AR90SS;1.22;0.22;26;0.52;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;5,CL-5,180(3);OASW-FC-5,CL-5,180(3)-16AR90SS;1.56;0.54;37;0.64;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;5,180(2)-5,i89(4);OASW-FC-5,180(2)-5,i89(4)-16AR90SS;1.28;0.50;41;0.63;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;5,GRAY-5,180(3);OASW-FC-5,GRAY-5,180(3)-16AR90SS;1.56;0.35;26;0.36;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;6,270(2)-6,CL;OASW-FC-6,270(2)-6,CL-13AR90SS;1.47;0.30;25;0.56;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;6,366(2)-6,CL;OASW-FC-6,366(2)-6,CL-13AR90SS;1.44;0.23;22;0.52;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;6,366(2)-6,i89(4);OASW-FC-6,366(2)-6,i89(4)-13AR90SS;1.21;0.22;26;0.51;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;6,CL-6,180(3);OASW-FC-6,CL-6,180(3)-13AR90SS;1.53;0.53;37;0.64;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;6,180(2)-6,i89(4);OASW-FC-6,180(2)-6,i89(4)-13AR90SS;1.27;0.48;40;0.62;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;6,SOGR-6,180(3);OASW-FC-6,SOGR-6,180(3)-13AR90SS;1.53;0.17;16;0.12;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;6,366L(2)-6,i89(4);OASW-FC-6,366L(2)-6,i89(4)-13AR90SS;1.20;0.23;27;0.51;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;3,180(2)-3,CL-3,180(5);OASW-FC-3,180(2)-3,CL-3,180(5)-8AR90SS;1.13;0.46;42;0.58;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;3,180(2)-3,180(4)-3,i89(6);OASW-FC-3,180(2)-3,180(4)-3,i89(6)-8AR90SS;1.00;0.44;44;0.57;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;3,270(2)-3,180(4)-3,i89(6);OASW-FC-3,270(2)-3,180(4)-3,i89(6)-8AR90SS;0.99;0.27;34;0.50;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;3,270(2)-3,CL-3,CL;OASW-FC-3,270(2)-3,CL-3,CL-8AR90SS;1.34;0.29;27;0.53;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;3,GRAY-3,366(4)-3,i89(6);OASW-FC-3,GRAY-3,366(4)-3,i89(6)-8AR90SS;1.14;0.19;26;0.33;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;4,180(2)-4,CL-4,180(5);OASW-FC-4,180(2)-4,CL-4,180(5)-6AR90SS;1.27;0.45;38;0.57;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;4,180(2)-4,180(4)-4,i89(6);OASW-FC-4,180(2)-4,180(4)-4,i89(6)-6AR90SS;1.10;0.43;41;0.56;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;4,270(2)-4,180(4)-4,i89(6);OASW-FC-4,270(2)-4,180(4)-4,i89(6)-6AR90SS;1.09;0.26;31;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Picture Window;6,SOGR-3,366(4)-3,i89(6);OASW-FC-6,SOGR-3,366(4)-3,i89(6)-6AR90SS;1.24;0.08;17;0.09;T636-65 (Issued November 20, 2020)
5000 Series;Balanced Sash Picture Window;;;;;;;
Nova Sliding Patio Door;Sliding Patio Door;;;;;;;